domain;problem;cost_without_assistance;minimum_cost_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
car-assistance1_domain;car-assistance1_problem_0;8000;5003;6002;6002;6002
;car-assistance1_problem_10;13000;9009;11007;13008;11007
;car-assistance1_problem_11;18000;11016;16012;16012;16012
;car-assistance1_problem_12;9000;5005;7004;7004;7004
;car-assistance1_problem_13;11000;9004;9004;9004;9004
;car-assistance1_problem_14;14000;9008;12006;12006;12006
;car-assistance1_problem_15;11000;7007;10005;10007;10005
;car-assistance1_problem_16;10000;7006;9006;8005;8005
;car-assistance1_problem_17;8000;5004;6003;6003;6003
;car-assistance1_problem_18;10000;6006;8005;8005;8005
;car-assistance1_problem_19;11000;7007;9005;9005;9005
;car-assistance1_problem_1;13000;10005;12004;12006;12004
;car-assistance1_problem_2;11000;6008;9006;9006;9006
;car-assistance1_problem_3;12000;7007;10005;10005;10005
;car-assistance1_problem_4;13000;8009;12007;13008;12007
;car-assistance1_problem_5;12000;7009;10007;10007;10007
;car-assistance1_problem_6;13000;9011;11007;11007;11007
;car-assistance1_problem_7;15000;9009;13006;13007;13006
;car-assistance1_problem_8;17000;11010;14008;16011;14008
;car-assistance1_problem_9;9000;6003;7002;8005;7002
