domain;problem;LTRA;BOTAV2;BOTAV2-psi
car-assistance2_domain;car-assistance2_problem_0;2;3;1
;car-assistance2_problem_10;2;3;1
;car-assistance2_problem_11;2;1;1
;car-assistance2_problem_12;2;4;1
;car-assistance2_problem_13;2;2;1
;car-assistance2_problem_14;2;5;1
;car-assistance2_problem_15;2;3;1
;car-assistance2_problem_16;2;2;1
;car-assistance2_problem_17;2;2;1
;car-assistance2_problem_18;2;3;1
;car-assistance2_problem_19;2;4;1
;car-assistance2_problem_1;2;3;1
;car-assistance2_problem_2;2;5;1
;car-assistance2_problem_3;2;3;1
;car-assistance2_problem_4;2;4;1
;car-assistance2_problem_5;2;3;2
;car-assistance2_problem_6;2;3;1
;car-assistance2_problem_7;2;2;1
;car-assistance2_problem_8;2;4;1
;car-assistance2_problem_9;2;3;1
