domain;problem;cost_without_assistance;minimum_cost_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
car-assistance2_domain;car-assistance2_problem_0;0;4;3;3;3
;car-assistance2_problem_10;0;10;6;6;6
;car-assistance2_problem_11;0;3;3;3;3
;car-assistance2_problem_12;0;7;5;6;5
;car-assistance2_problem_13;0;4;3;3;3
;car-assistance2_problem_14;0;10;7;7;7
;car-assistance2_problem_15;0;8;6;6;6
;car-assistance2_problem_16;0;3;3;3;3
;car-assistance2_problem_17;0;5;3;3;3
;car-assistance2_problem_18;0;9;7;7;7
;car-assistance2_problem_19;0;9;5;6;5
;car-assistance2_problem_1;0;6;5;5;5
;car-assistance2_problem_2;0;10;7;7;7
;car-assistance2_problem_3;0;5;4;4;4
;car-assistance2_problem_4;0;7;5;6;5
;car-assistance2_problem_5;0;4;2;2;2
;car-assistance2_problem_6;0;6;5;5;5
;car-assistance2_problem_7;0;6;4;4;4
;car-assistance2_problem_8;0;8;6;7;6
;car-assistance2_problem_9;0;6;5;5;5
