domain;problem;cost_without_assistance;minimum_cost_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
termes-assistance1_domain;termes-assistance1_problem_0;94000;30000;72000;50000;60000
;termes-assistance1_problem_10;78000;18000;31000;21000;25000
;termes-assistance1_problem_11;77000;18000;30000;21000;24000
;termes-assistance1_problem_12;167000;24000;50000;36000;46000
;termes-assistance1_problem_13;108000;42000;77000;54000;60000
;termes-assistance1_problem_14;117000;36000;78000;43000;43000
;termes-assistance1_problem_15;72000;18000;24000;20000;22000
;termes-assistance1_problem_16;85000;30000;49000;32000;34000
;termes-assistance1_problem_17;73000;18000;29000;20000;23000
;termes-assistance1_problem_18;75000;18000;25000;23000;25000
;termes-assistance1_problem_19;175000;24000;35000;loop;35000
;termes-assistance1_problem_1;75000;18000;31000;24000;27000
;termes-assistance1_problem_20;91000;18000;37000;28000;33000
;termes-assistance1_problem_21;89000;30000;69000;48000;55000
;termes-assistance1_problem_22;77000;18000;26000;22000;26000
;termes-assistance1_problem_23;91000;18000;37000;28000;33000
;termes-assistance1_problem_24;105000;30000;71000;52000;61000
;termes-assistance1_problem_25;78000;18000;30000;24000;30000
;termes-assistance1_problem_26;159000;24000;40000;32000;36000
;termes-assistance1_problem_27;79000;18000;31000;24000;31000
;termes-assistance1_problem_28;78000;18000;31000;22000;27000
;termes-assistance1_problem_29;73000;18000;29000;20000;23000
;termes-assistance1_problem_2;75000;18000;28000;21000;23000
;termes-assistance1_problem_30;76000;18000;28000;24000;28000
;termes-assistance1_problem_31;76000;18000;29000;22000;25000
;termes-assistance1_problem_32;127000;42000;60000;44000;48000
;termes-assistance1_problem_33;150000;24000;48000;28000;32000
;termes-assistance1_problem_34;174000;42000;98000;71000;80000
;termes-assistance1_problem_35;118000;36000;66000;48000;52000
;termes-assistance1_problem_36;105000;30000;55000;51000;55000
;termes-assistance1_problem_37;131000;36000;63000;48000;57000
;termes-assistance1_problem_38;137000;42000;80000;56000;64000
;termes-assistance1_problem_39;153000;48000;84000;loop;64000
;termes-assistance1_problem_3;148000;24000;46000;28000;30000
;termes-assistance1_problem_40;83000;18000;26000;24000;26000
;termes-assistance1_problem_41;75000;18000;28000;21000;22000
;termes-assistance1_problem_42;72000;18000;33000;34000;37000
;termes-assistance1_problem_43;142000;42000;117000;78000;104000
;termes-assistance1_problem_44;74000;18000;30000;24000;26000
;termes-assistance1_problem_45;124000;42000;76000;65000;72000
;termes-assistance1_problem_46;144000;36000;88000;50000;58000
;termes-assistance1_problem_47;64000;30000;50000;36000;40000
;termes-assistance1_problem_48;160000;24000;41000;32000;37000
;termes-assistance1_problem_49;109000;18000;45000;30000;41000
;termes-assistance1_problem_4;138000;18000;54000;37000;50000
;termes-assistance1_problem_5;161000;24000;42000;32000;38000
;termes-assistance1_problem_6;73000;18000;29000;20000;23000
;termes-assistance1_problem_7;77000;18000;33000;24000;29000
;termes-assistance1_problem_8;129000;42000;96000;67000;87000
;termes-assistance1_problem_9;78000;18000;34000;24000;30000
