domain;problem;time_without_assistance;minimum_time_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
termes-assistance1_domain;termes-assistance1_problem_0;91.4290952682;12.8277244568;376.630450964;364.5961663723;418.6513226032
;termes-assistance1_problem_10;2.4529495239;0.2088980675;25.4027881622;3.5465197563;2.9936137199
;termes-assistance1_problem_11;9.8452365398;0.33279562;67.5863640308;12.9287045002;12.7699747086
;termes-assistance1_problem_12;58.1128547192;0.7006905079;111.9956071377;71.2871263027;78.433401823
;termes-assistance1_problem_13;29.7160570621;395.1187984943;511.1719799042;4773.1574800015;165.5351510048
;termes-assistance1_problem_14;17.7245597839;22.0661180019;179.9313657284;257.7206122875;30.0693526268
;termes-assistance1_problem_15;10.102496624;0.3393468857;35.1139256954;12.7774438858;12.4763798714
;termes-assistance1_problem_16;10.4213705063;1.2844011784;53.2965586185;15.6824104786;13.5781602859
;termes-assistance1_problem_17;44.6932122707;0.4980661869;46.9718558788;47.1078090668;50.652131319
;termes-assistance1_problem_18;10.4220659733;0.3387227058;40.3716931343;12.9386627674;18.8675396442
;termes-assistance1_problem_19;11.0649774075;0.4170086384;41.7985978127;loop;17.2219295502
;termes-assistance1_problem_1;36.8034293652;0.490295887;44.2302284241;41.0838525295;43.8008449078
;termes-assistance1_problem_20;18.5377717018;0.376237154;21.8414719105;23.5566368103;30.1402857304
;termes-assistance1_problem_21;12.6159348488;1.3163368702;25.3927276134;41.5239698887;28.8172521591
;termes-assistance1_problem_22;8.0089063644;0.3852443695;34.6025438309;10.2472553253;13.2812981606
;termes-assistance1_problem_23;74.2276155949;0.7320792675;72.0608401299;82.2741920948;97.3202600479
;termes-assistance1_problem_24;65.2691240311;13.6808736324;912.0078058243;412.9793219566;226.0043690205
;termes-assistance1_problem_25;7.94196105;0.2736542225;26.3597178459;9.0612254143;11.7640471458
;termes-assistance1_problem_26;424.2929079533;1.2983393669;581.5907659531;428.0366153717;466.5389184952
;termes-assistance1_problem_27;12.3209350109;0.3504385948;35.8161680698;16.0680294037;20.184163332
;termes-assistance1_problem_28;7.6605017185;0.2749078274;6.5687429905;7.8471097946;7.9208550453
;termes-assistance1_problem_29;18.5792367458;0.59014678;19.855288744;21.7348618507;22.1618790627
;termes-assistance1_problem_2;50.3188447952;0.7200622559;52.0745043755;55.0267281532;59.2130081654
;termes-assistance1_problem_30;6.9816515446;0.4341747761;24.5034475327;8.7300071716;9.6431310177
;termes-assistance1_problem_31;6.671902895;0.2752668858;10.6868224144;8.7726004124;9.1208541393
;termes-assistance1_problem_32;32.2038192749;16.7505507469;172.3143472672;140.5796568394;43.311532259
;termes-assistance1_problem_33;31.3315973282;0.6908388138;210.9526519775;35.4870049953;36.9514400959
;termes-assistance1_problem_34;39.2187302113;17.8775963783;257.2857925892;627.3907248974;154.5761733055
;termes-assistance1_problem_35;23.8278982639;7.5825204849;101.165063858;131.0666348934;65.6232633591
;termes-assistance1_problem_36;8.9545865059;1.7397739887;258.9218294621;50.5938694477;27.9460992813
;termes-assistance1_problem_37;95.3888192177;90.3154158592;243.9088647366;1299.7880523205;182.0957267284
;termes-assistance1_problem_38;113.7991940975;93.4719889164;624.0694303513;2066.0479705334;348.6709911823
;termes-assistance1_problem_39;188.3825740814;526.4687430859;650.0418729782;loop;351.4663851261
;termes-assistance1_problem_3;6.6751537323;0.4284403324;43.0735299587;11.6284644604;10.9418303967
;termes-assistance1_problem_40;12.9850866795;0.3919215202;58.2271161079;18.907566309;22.3738470078
;termes-assistance1_problem_41;2.3910784721;0.2269039154;12.6313905716;4.1576855183;4.1203241348
;termes-assistance1_problem_42;3.775274992;0.2776405811;3.7152676582;4.7646391392;32.6284441948
;termes-assistance1_problem_43;147.9535310268;425.6705195904;18627.6152174473;15909.1694054604;483.9267754555
;termes-assistance1_problem_44;6.1458837986;0.2729694843;6.4786198139;8.9424748421;11.1793019772
;termes-assistance1_problem_45;58.6869277954;83.3219549656;2236.8729951382;2295.2745556831;253.5311360359
;termes-assistance1_problem_46;537.9991695881;72.9054698944;14582.6065130234;1973.0246655941;600.7400047779
;termes-assistance1_problem_47;6.3571658134;0.6075699329;7.1738300323;11.313908577;28.1516430378
;termes-assistance1_problem_48;12.4200146198;0.4812467098;35.5772836208;17.6763749123;24.3200671673
;termes-assistance1_problem_49;38.8929753304;0.6319310665;40.4854011536;50.8531169891;57.2628982067
;termes-assistance1_problem_4;214.0476801395;0.7149484158;260.197073698;227.455170393;250.6111645699
;termes-assistance1_problem_5;452.5349035263;1.305685997;612.6216347218;472.8277468681;489.4512183666
;termes-assistance1_problem_6;10.0742540359;0.3362298012;11.2337458134;11.6501133442;11.8597328663
;termes-assistance1_problem_7;25.0003259182;0.5618746281;25.2279641628;29.1265728474;46.6328587532
;termes-assistance1_problem_8;27.4789283276;84.6011226177;4936.6178483963;2424.9847624302;248.820040226
;termes-assistance1_problem_9;40.3128116131;0.4856898785;35.885956049;41.5426487923;55.1658987999
