domain;problem;LTRA;BOTAV2;BOTAV2-psi
teleport-assistance7_domain;teleport-assistance7_problem_0;None;None;None
;teleport-assistance7_problem_100;None;1;None
;teleport-assistance7_problem_101;None;None;None
;teleport-assistance7_problem_102;None;2;None
;teleport-assistance7_problem_103;None;None;None
;teleport-assistance7_problem_104;None;1;1
;teleport-assistance7_problem_105;None;None;None
;teleport-assistance7_problem_106;None;None;None
;teleport-assistance7_problem_107;None;None;None
;teleport-assistance7_problem_108;None;None;None
;teleport-assistance7_problem_109;1;1;None
;teleport-assistance7_problem_10;None;None;None
;teleport-assistance7_problem_110;None;None;None
;teleport-assistance7_problem_111;None;None;None
;teleport-assistance7_problem_112;None;None;None
;teleport-assistance7_problem_113;None;None;None
;teleport-assistance7_problem_114;None;None;None
;teleport-assistance7_problem_115;None;None;None
;teleport-assistance7_problem_116;None;1;None
;teleport-assistance7_problem_117;1;1;1
;teleport-assistance7_problem_118;None;None;None
;teleport-assistance7_problem_119;1;1;1
;teleport-assistance7_problem_11;None;None;None
;teleport-assistance7_problem_120;None;None;None
;teleport-assistance7_problem_121;None;None;None
;teleport-assistance7_problem_122;None;None;None
;teleport-assistance7_problem_123;None;1;None
;teleport-assistance7_problem_124;None;None;None
;teleport-assistance7_problem_125;None;None;None
;teleport-assistance7_problem_126;None;None;None
;teleport-assistance7_problem_127;None;None;None
;teleport-assistance7_problem_128;None;None;None
;teleport-assistance7_problem_129;None;None;None
;teleport-assistance7_problem_12;1;1;1
;teleport-assistance7_problem_130;None;None;None
;teleport-assistance7_problem_131;None;None;None
;teleport-assistance7_problem_132;None;1;None
;teleport-assistance7_problem_133;1;1;1
;teleport-assistance7_problem_134;None;None;None
;teleport-assistance7_problem_135;None;None;None
;teleport-assistance7_problem_136;None;None;None
;teleport-assistance7_problem_137;None;None;None
;teleport-assistance7_problem_138;None;None;None
;teleport-assistance7_problem_139;None;1;None
;teleport-assistance7_problem_13;None;None;None
;teleport-assistance7_problem_140;None;None;None
;teleport-assistance7_problem_141;None;None;None
;teleport-assistance7_problem_142;1;1;1
;teleport-assistance7_problem_143;None;1;None
;teleport-assistance7_problem_144;None;None;None
;teleport-assistance7_problem_145;None;None;None
;teleport-assistance7_problem_146;None;None;None
;teleport-assistance7_problem_147;1;1;1
;teleport-assistance7_problem_148;None;None;None
;teleport-assistance7_problem_149;None;None;None
;teleport-assistance7_problem_14;None;None;None
;teleport-assistance7_problem_150;None;None;None
;teleport-assistance7_problem_151;1;1;1
;teleport-assistance7_problem_152;None;None;None
;teleport-assistance7_problem_153;None;None;None
;teleport-assistance7_problem_154;1;1;1
;teleport-assistance7_problem_155;None;None;None
;teleport-assistance7_problem_156;None;None;None
;teleport-assistance7_problem_157;None;1;None
;teleport-assistance7_problem_158;None;None;None
;teleport-assistance7_problem_159;None;None;None
;teleport-assistance7_problem_15;None;None;None
;teleport-assistance7_problem_160;None;None;None
;teleport-assistance7_problem_161;None;None;None
;teleport-assistance7_problem_162;None;None;None
;teleport-assistance7_problem_163;None;None;None
;teleport-assistance7_problem_164;None;None;None
;teleport-assistance7_problem_165;None;1;1
;teleport-assistance7_problem_166;None;None;None
;teleport-assistance7_problem_167;None;None;None
;teleport-assistance7_problem_168;None;1;1
;teleport-assistance7_problem_169;None;None;None
;teleport-assistance7_problem_16;None;None;None
;teleport-assistance7_problem_170;None;None;None
;teleport-assistance7_problem_171;None;None;None
;teleport-assistance7_problem_172;None;1;None
;teleport-assistance7_problem_173;None;None;None
;teleport-assistance7_problem_174;None;None;None
;teleport-assistance7_problem_175;None;None;None
;teleport-assistance7_problem_176;None;None;None
;teleport-assistance7_problem_177;None;None;None
;teleport-assistance7_problem_178;None;None;None
;teleport-assistance7_problem_179;None;None;None
;teleport-assistance7_problem_17;None;None;None
;teleport-assistance7_problem_180;None;None;None
;teleport-assistance7_problem_181;None;None;None
;teleport-assistance7_problem_182;1;1;1
;teleport-assistance7_problem_183;None;None;None
;teleport-assistance7_problem_184;None;None;None
;teleport-assistance7_problem_185;None;1;1
;teleport-assistance7_problem_186;None;None;None
;teleport-assistance7_problem_187;1;1;1
;teleport-assistance7_problem_188;None;None;None
;teleport-assistance7_problem_189;None;None;None
;teleport-assistance7_problem_18;None;None;None
;teleport-assistance7_problem_190;None;None;None
;teleport-assistance7_problem_191;None;None;None
;teleport-assistance7_problem_192;None;None;None
;teleport-assistance7_problem_193;None;None;None
;teleport-assistance7_problem_194;None;None;None
;teleport-assistance7_problem_195;None;None;None
;teleport-assistance7_problem_196;None;None;None
;teleport-assistance7_problem_197;None;None;None
